tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
1503393.0,1503926.0,1503926.0,667.0,754.0,42.746101,-87.0,-87.0,-2.03529,-3.75397,0.0,-0.0,-0.07,1.0,45.4,-0.47,-1.62,0.25,-3.89,24.81,104,190903.0
1504087.0,1504620.0,1504620.0,640.0,754.0,42.746101,-114.0,-114.0,-2.66691,-3.08111,0.0,0.0,-0.06,1.0,45.46,-0.48,-1.38,0.0,-3.72,24.86,104,191597.0
1504781.0,1505314.0,1505315.0,1871.0,754.0,42.746101,1117.0,1117.01,26.13125,26.13125,26.0,0.0,-0.07,1.0,45.43,-0.18,-1.46,-0.24,-4.03,24.91,104,192291.0
1505476.0,1506008.0,1506009.0,-31.0,754.0,42.746101,-785.0,-785.0,-18.36428,-18.36428,-18.0,-0.0,-0.07,1.0,45.31,-0.48,-1.58,0.11,-3.9,24.77,104,192986.0
1506170.0,1506702.0,1506703.0,627.0,754.0,42.746101,-127.0,-127.0,-2.97103,-2.97103,0.0,0.0,-0.07,1.0,45.33,-0.44,-1.56,0.0,-3.88,24.81,104,193680.0
1506863.0,1507396.0,1507397.0,626.0,754.0,42.746101,-128.0,-128.0,-2.99443,-2.97103,0.0,-0.0,-0.07,1.0,45.43,-0.37,-1.5,0.06,-3.78,24.81,104,194373.0
1507558.0,1508091.0,1508091.0,671.0,754.0,42.746101,-83.0,-83.0,-1.9417,-2.98019,0.0,-0.0,-0.06,1.0,45.47,-0.44,-1.58,0.03,-3.66,24.91,104,195068.0
1508252.0,1508785.0,1508785.0,663.0,754.0,42.746101,-91.0,-91.0,-2.12885,-2.57362,0.0,0.0,-0.06,0.98,44.87,-0.4,-1.22,-0.09,-3.44,24.86,104,195762.0
1508946.0,1509479.0,1509480.0,652.0,754.0,42.746101,-102.0,-102.0,-2.38618,-2.39949,0.0,0.0,-0.06,1.0,45.44,-0.42,-1.58,-0.03,-3.44,24.91,104,196456.0
1509640.0,1510173.0,1510174.0,642.0,754.0,42.746101,-112.0,-112.0,-2.62012,-2.39428,0.0,0.0,-0.06,1.0,45.27,-0.18,-1.69,-0.06,-3.63,24.95,104,197150.0
1510334.0,1510867.0,1510868.0,596.0,754.0,42.746101,-158.0,-158.0,-3.69627,-2.4827,0.0,0.0,-0.07,1.0,45.57,-0.65,-1.48,-0.24,-3.97,24.91,104,197844.0
1511029.0,1511561.0,1511562.0,646.0,754.0,42.746101,-108.0,-108.0,-2.52656,-2.95781,0.0,-0.0,-0.06,1.0,45.28,-0.46,-1.56,0.21,-3.65,24.86,104,198539.0
1511723.0,1512255.0,1512256.0,637.0,754.0,42.746101,-117.0,-117.0,-2.73715,-2.78898,0.0,-0.01,-0.06,1.0,45.61,-0.56,-1.61,0.41,-3.69,24.81,104,199233.0
1512417.0,1512950.0,1512950.0,625.0,754.0,42.746101,-129.0,-129.0,-3.01782,-2.76869,0.0,0.0,-0.07,1.0,45.4,-0.24,-1.53,-0.08,-3.78,24.86,104,199927.0
1513111.0,1513644.0,1513644.0,651.0,754.0,42.746101,-103.0,-103.0,-2.40958,-2.86622,0.0,0.0,-0.06,1.0,45.5,-0.56,-1.6,-0.04,-3.47,24.81,104,200621.0
1513805.0,1514338.0,1514339.0,632.0,754.0,42.746101,-122.0,-122.0,-2.85406,-2.68745,0.0,0.0,-0.06,0.99,45.48,-0.75,-1.4,-0.03,-3.54,24.91,104,201315.0
1514499.0,1515032.0,1515033.0,647.0,754.0,42.746101,-107.0,-107.0,-2.50316,-2.75268,0.0,0.0,-0.06,1.0,45.61,-0.34,-1.48,-0.11,-3.5,24.86,104,202009.0
1515193.0,1515726.0,1515727.0,629.0,754.0,42.746101,-125.0,-125.0,-2.92426,-2.65499,0.0,0.0,-0.07,1.0,45.52,-0.34,-1.34,-0.19,-3.92,24.77,104,202703.0
1515887.0,1516420.0,1516421.0,640.0,754.0,42.746101,-114.0,-114.0,-2.66693,-2.76041,0.0,0.0,-0.06,1.0,45.5,-0.32,-1.56,-0.22,-3.65,24.86,104,203397.0
1516582.0,1517114.0,1517115.0,613.0,754.0,42.746101,-141.0,-141.0,-3.29856,-2.72381,0.0,0.0,-0.07,1.0,45.35,-0.37,-1.41,-0.2,-4.2,24.91,104,204092.0
1517276.0,1517809.0,1517809.0,651.0,754.0,42.746101,-103.0,-103.0,-2.40958,-2.94883,0.0,0.0,-0.07,1.0,45.27,-0.24,-1.52,-0.01,-3.83,24.86,104,204786.0
1517970.0,1518503.0,1518503.0,645.0,754.0,42.746101,-109.0,-109.0,-2.54994,-2.73771,0.0,-0.0,-0.06,1.0,45.41,-0.45,-1.53,0.06,-3.4,24.95,104,205480.0
1518664.0,1519197.0,1519197.0,629.0,754.0,42.746101,-125.0,-125.0,-2.92426,-2.6642,0.0,0.0,-0.07,0.99,45.41,-0.59,-1.53,-0.2,-3.96,24.86,104,206174.0
1519358.0,1519891.0,1519892.0,653.0,754.0,42.746101,-101.0,-101.0,-2.3628,-2.76601,0.0,0.0,-0.06,1.0,45.22,-0.34,-1.7,-0.14,-3.47,24.72,104,206868.0
1520052.0,1520585.0,1520586.0,641.0,754.0,42.746101,-113.0,-113.0,-2.64352,-2.60815,0.0,-0.0,-0.07,1.0,45.58,-0.35,-1.59,0.1,-3.95,24.86,104,207562.0
