tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
61636.0,62167.0,62168.0,161393.0,-66871.0,42.746101,228264.0,228264.0,5339.99561,5339.99561,5340.0,-0.0,-0.06,1.0,45.96,-0.58,-1.41,0.01,-3.35,24.25,104,37480.0
62330.0,62861.0,62862.0,156852.0,-66871.0,42.746101,223723.0,223727.75,5233.875,5233.875,5234.0,0.01,-0.07,1.0,45.88,-0.39,-1.51,-0.39,-3.74,24.25,104,38174.0
63024.0,63555.0,63556.0,157551.0,-66871.0,42.746101,224422.0,224422.88,5250.13672,5250.13672,5250.0,-0.0,-0.07,1.0,45.89,-0.51,-1.43,0.17,-3.79,24.2,104,38868.0
63718.0,64249.0,64250.0,162796.0,-66871.0,42.746101,229667.0,229667.16,5372.82129,5372.82129,5373.0,0.0,-0.06,1.0,45.78,-0.28,-1.5,-0.07,-3.34,24.29,104,39562.0
64412.0,64943.0,64944.0,163325.0,-66871.0,42.746101,230196.0,230196.06,5385.19434,5385.19434,5385.0,0.0,-0.05,1.0,46.02,-0.24,-1.41,-0.04,-3.06,24.25,104,40256.0
65106.0,65637.0,65638.0,162814.0,-66871.0,42.746101,229685.0,229686.41,5373.27148,5373.27148,5373.0,-0.0,-0.07,1.0,45.89,-0.37,-1.55,0.21,-4.14,24.2,104,40950.0
65800.0,66331.0,66332.0,163766.0,-66871.0,42.746101,230637.0,230639.53,5395.56885,5395.56885,5395.5,0.0,-0.06,1.0,45.94,-0.45,-1.64,-0.28,-3.57,24.25,104,41644.0
66494.0,67026.0,67026.0,163722.0,-66871.0,42.746101,230593.0,230593.11,5394.48291,5395.56885,5395.5,0.0,-0.07,0.99,46.02,-0.35,-1.36,-0.06,-3.78,24.29,104,42338.0
67188.0,67720.0,67720.0,163252.0,-66871.0,42.746101,230123.0,230124.25,5383.51416,5383.51416,5383.5,-0.0,-0.06,0.99,45.76,-0.69,-1.68,0.2,-3.54,24.39,104,43032.0
67882.0,68414.0,68414.0,163768.0,-66871.0,42.746101,230639.0,230640.63,5395.59424,5395.59424,5395.5,-0.0,-0.06,0.99,45.99,-0.19,-1.51,0.22,-3.65,24.25,104,43726.0
68576.0,69108.0,69108.0,163446.0,-66871.0,42.746101,230317.0,230317.0,5388.02344,5388.02344,5388.0,-0.0,-0.06,0.99,45.8,-0.45,-1.37,0.01,-3.66,24.29,104,44420.0
69270.0,69802.0,69802.0,164061.0,-66871.0,42.746101,230932.0,230932.06,5402.41211,5402.41211,5402.5,0.0,-0.05,0.99,45.95,-0.41,-1.48,-0.04,-3.09,24.25,104,45114.0
69964.0,70496.0,70496.0,165142.0,-66871.0,42.746101,232013.0,232013.92,5427.72119,5427.72119,5428.0,-0.0,-0.05,1.0,45.78,-0.52,-1.51,0.17,-2.99,24.25,104,45808.0
70658.0,71190.0,71190.0,166135.0,-66871.0,42.746101,233006.0,233008.53,5450.98926,5450.98926,5451.0,0.0,-0.06,1.0,45.85,-0.4,-1.49,-0.28,-3.62,24.29,104,46502.0
71352.0,71884.0,71885.0,165948.0,-66871.0,42.746101,232819.0,232819.06,5446.55664,5450.98926,5451.0,0.0,-0.06,0.99,45.93,-0.34,-1.41,-0.04,-3.55,24.29,104,47196.0
72046.0,72578.0,72579.0,165898.0,-66871.0,42.746101,232769.0,232769.41,5445.39502,5449.25391,5449.0,-0.0,-0.06,0.99,45.9,-0.31,-1.41,0.11,-3.37,24.29,104,47890.0
72740.0,73272.0,73273.0,166045.0,-66871.0,42.746101,232916.0,232921.75,5448.95898,5447.74316,5448.0,0.01,-0.06,1.0,45.99,-0.4,-1.59,-0.42,-3.46,24.25,104,48584.0
73434.0,73966.0,73967.0,165308.0,-66871.0,42.746101,232179.0,232181.55,5431.64258,5431.64258,5431.5,-0.0,-0.05,1.0,46.05,-0.37,-1.53,0.28,-3.08,24.25,104,49278.0
74129.0,74660.0,74661.0,165046.0,-66871.0,42.746101,231917.0,231917.63,5425.46826,5425.46826,5425.5,-0.0,-0.07,1.0,45.75,-0.72,-1.47,0.14,-3.89,24.39,104,49973.0
74823.0,75354.0,75355.0,166344.0,-66871.0,42.746101,233215.0,233215.09,5455.82129,5455.82129,5456.0,0.0,-0.06,1.0,46.05,-0.53,-1.56,-0.06,-3.35,24.29,104,50667.0
75517.0,76048.0,76049.0,165973.0,-66871.0,42.746101,232844.0,232846.28,5447.19336,5447.19336,5447.0,0.0,-0.06,1.0,45.86,-0.38,-1.52,-0.26,-3.39,24.29,104,51361.0
76211.0,76742.0,76743.0,165627.0,-66871.0,42.746101,232498.0,232498.64,5439.06055,5439.06055,5439.0,-0.0,-0.05,1.0,45.89,-0.34,-1.49,0.14,-3.01,24.34,104,52055.0
76905.0,77436.0,77437.0,165387.0,-66871.0,42.746101,232258.0,232258.92,5433.45264,5433.45264,5433.5,0.0,-0.06,1.0,45.84,-0.49,-1.62,-0.17,-3.43,24.25,104,52749.0
77599.0,78130.0,78131.0,164645.0,-66871.0,42.746101,231516.0,231516.31,5416.08008,5416.08008,5416.0,-0.0,-0.06,1.0,45.94,-0.27,-1.6,0.1,-3.41,24.34,104,53443.0
78293.0,78824.0,78825.0,162599.0,-66871.0,42.746101,229470.0,229470.03,5368.20947,5368.20947,5368.0,-0.0,-0.06,1.0,45.98,-0.5,-1.72,0.03,-3.57,24.29,104,54137.0
78987.0,79518.0,79519.0,164642.0,-66871.0,42.746101,231513.0,231513.11,5416.00537,5416.00537,5416.0,-0.0,-0.07,1.0,46.06,-0.18,-1.5,0.06,-4.03,24.29,104,54831.0
79681.0,80212.0,80213.0,164528.0,-66871.0,42.746101,231399.0,231399.03,5413.33643,5416.00537,5416.0,-0.0,-0.06,1.0,46.06,-0.29,-1.37,0.03,-3.71,24.15,104,55525.0
80375.0,80906.0,80907.0,164882.0,-66871.0,42.746101,231753.0,231753.0,5421.61719,5421.61719,5421.5,0.0,-0.06,1.0,46.1,-0.17,-1.66,0.0,-3.62,24.25,104,56219.0
81069.0,81600.0,81601.0,165023.0,-66871.0,42.746101,231894.0,231895.23,5424.94482,5421.61719,5421.5,-0.0,-0.07,1.0,45.82,-0.51,-1.63,0.2,-4.25,24.29,104,56913.0
81763.0,82294.0,82295.0,164499.0,-66871.0,42.746101,231370.0,231370.63,5412.67187,5412.67187,5412.5,-0.0,-0.07,1.0,45.88,-0.4,-1.55,0.14,-3.73,24.25,104,57607.0
82457.0,82989.0,82989.0,165338.0,-66871.0,42.746101,232209.0,232209.77,5432.30273,5432.30273,5432.0,0.0,-0.06,1.0,45.93,-0.17,-1.47,-0.15,-3.7,24.29,104,58301.0
83151.0,83683.0,83683.0,164707.0,-66871.0,42.746101,231578.0,231578.64,5417.53809,5417.53809,5417.5,0.0,-0.06,1.0,45.89,-0.43,-1.61,-0.14,-3.63,24.29,104,58995.0
83845.0,84377.0,84377.0,165578.0,-66871.0,42.746101,232449.0,232450.08,5437.9248,5437.9248,5438.0,-0.0,-0.06,1.0,45.84,-0.42,-1.47,0.18,-3.27,24.2,104,59689.0
84539.0,85071.0,85071.0,170163.0,-66871.0,42.746101,237034.0,237038.05,5545.25537,5545.25537,5545.0,0.01,-0.07,1.0,45.87,-0.44,-1.42,-0.35,-4.05,24.25,104,60383.0
85233.0,85765.0,85766.0,170512.0,-66871.0,42.746101,237383.0,237383.0,5553.3252,5553.3252,5553.0,0.0,-0.06,1.0,45.92,-0.24,-1.45,-0.01,-3.21,24.25,104,61077.0
