tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
1671688,1672250,1672251,-67855,-67795,42.7461,-60,-61.1661,-67.01218,-1.430916,-1.607131,0,0.210938,0.103027,1.016113,-11.54198,6.076336,-1.312977,-11.6694,5.789623,30.93,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,733374,562,1,729779.8245614036
1673853,1674337,1674338,-67876,-67795,42.7461,-81,-82.56293,-70.79792,-1.931473,-1.538143,0,0.208984,0.096191,1.010986,-11.45802,6.015267,-1.694657,-11.6282,5.435096,31.07118,2675.0,2.155678,2.356834,7.275661,0.996666,False,True,True,True,True,False,False,False,False,False,104,735539,484,1,731864.9097744361
1675996,1676520,1676521,-67876,-67795,42.7461,-81,-82.63049,-70.22382,-1.933053,-1.692132,0,0.212646,0.094727,1.00708,-11.63359,6.122138,-1.366412,-11.87202,5.373454,31.02412,2674.0,2.154872,2.355953,7.272942,0.996293,False,True,True,True,True,False,False,False,False,False,104,737682,524,1,733949.9949874687
1678169,1678703,1678703,-67857,-67795,42.7461,-62,-63.21678,-68.74654,-1.47889,-1.786452,0,0.211426,0.095703,1.01416,-11.48855,6.244275,-1.435115,-11.72533,5.390847,30.97706,2676.0,2.156483,2.357715,7.278381,0.997039,False,True,True,True,True,False,False,False,False,False,104,739855,534,0,736035.0802005013
1680076,1680600,1680601,-67889,-67795,42.7461,-94,-95.73768,-72.23363,-2.239682,-1.666042,0,0.203613,0.094971,1.006592,-11.51145,6.068702,-1.21374,-11.38622,5.389819,30.97706,2674.6,2.155355,2.356482,7.274574,0.996517,False,True,True,True,True,False,False,False,False,False,104,741762,524,1,738120.1654135339
1682170,1682688,1682689,-67876,-67795,42.7461,-81,-82.6235,-79.37336,-1.93289,-1.890622,0,0.212402,0.102783,1.007324,-11.70992,5.954198,-1.59542,-11.84707,5.826048,30.97706,2674.1,2.154953,2.356041,7.273214,0.996331,False,True,True,True,True,False,False,False,False,False,104,743856,518,1,740205.2506265665
1684056,1684586,1684587,-67860,-67795,42.7461,-65,-66.2607,-76.3141,-1.550099,-1.90717,0,0.20874,0.099365,1.006836,-11.54962,6.21374,-1.244275,-11.6577,5.63629,30.97706,2675.0,2.155678,2.356834,7.275661,0.996666,False,True,True,True,True,False,False,False,False,False,104,745742,530,1,742290.335839599
1686112,1686673,1686674,-67859,-67795,42.7461,-64,-65.23627,-76.89556,-1.526134,-1.767377,0,0.209473,0.092041,1.013184,-11.65649,6.122138,-1.351145,-11.63453,5.190682,30.97706,2674.7,2.155436,2.35657,7.274846,0.996554,False,True,True,True,True,False,False,False,False,False,104,747798,561,1,744375.4210526316
1688254,1688761,1688761,-67884,-67795,42.7461,-89,-90.72122,-78.06104,-2.122327,-1.67293,0,0.208008,0.0979,1.004883,-11.49618,6.198473,-1.603053,-11.64126,5.564449,31.02412,2674.3,2.155113,2.356217,7.273757,0.996405,False,True,True,True,True,False,False,False,False,False,104,749940,507,0,746460.5062656642
1690159,1690658,1690659,-67879,-67795,42.7461,-84,-85.62057,-78.4882,-2.003003,-1.848869,0,0.208008,0.093018,1.006592,-11.57252,6.091603,-1.335878,-11.62737,5.279607,30.93,2676.1,2.156564,2.357804,7.278654,0.997076,False,True,True,True,True,False,False,False,False,False,104,751845,499,1,748545.5914786968
